,id_producto,precio,categoria,descripcion
0,P0001,58.91,Clothing,6GJFfPug1voQYH3zfXItpbjwRA7VVT64DGtG8VnRXaJJZ0SYJa
1,P0002,15.67,Electronics,Ai3c6EdaRU5C0WuWl718dSYHakqGLiMJmpbVgn7iq6syGN3UJP
2,P0003,50.58,Sports & Outdoors,yMidjq8PGxKEf6YFWfUKJN1sDhyIs2xareF0uaA4ngzUgmrDKc
3,P0004,72.88,Sports & Outdoors,E8LBdxZItLULWZUyKPwzkjZJHD2GOSuqR7Od4DX5624ex1t5lN
4,P0005,70.23,Books,zQLYUssRkFNu2GcCd8xBPrc5xiJH5DGQ66A0X4TFU0cHeazM6o
5,P0006,38.15,Home & Kitchen,BWTEBnPofLlnlzXIs7YGgeCuEdkHaoAptjWkFF3K6fWFreSdkj
6,P0007,29.46,Books,wRY7bHnZGHvTI0Wohm402P4HiSvNdT6rlMn3yPP5t2eYEUfYXD
7,P0008,84.19,Clothing,BwMy4M0Yd7xVeG9VBApK2M5w0jZNBBUxdDBmNI7wMl05DFzgyF
8,P0009,22.99,Books,ZYe56DXTf6Sq3LYpZM1aWlmrV3IBFsGccHDrvKknWrLigT7s7f
9,P0010,32.4,Books,DOCqX8LOw4BTNdjymZDf6pnZVYsVY4UwoUmOpEmAZYCijM4UJf
10,P0011,63.02,Electronics,tHlni48qZJ6w17vjViy3vKpPaWRwMrM2DG8QOFCF9ePv7AC1jv
11,P0012,45.54,Books,xMGNVYTr8m8NUWZ3lBfqq0UUxabBpNKyGR7YT3UjFzKeo4xhhG
12,P0013,7.98,Clothing,ymtkyN705n9yFHRcyOrxzrXn5d9E4NPvL2YlWqsUrTOpYuzzKN
13,P0014,75.97,Sports & Outdoors,dcIClgjCIsF6We0JkaOD2A3ryGW5T2Q1bIlqlJbZf2SAYjxvRZ
14,P0015,5.46,Sports & Outdoors,xCLI2GsjQOVjo6k8HbRIvjVJPB0OgOSscCAnoJ8LBqIXtrliAk
15,P0016,6.71,Clothing,zQP4kP8MnvlolgPEsAHYxDW7N7dI61c8FGdLNFqHcueCo1DbPb
16,P0017,84.45,Home & Kitchen,7O5sRtqsuUuwVHzaAnBe4I18BbY6uYCLJmz1F8kCBh33cgQEm6
17,P0018,59.04,Clothing,yqCWNCHEMUCEOgxFPngcHw5gvhU6eystFIThXrQahhXbMuYW4j
18,P0019,73.97,Clothing,WcmoRsvoNdAwMxSZawBaQTYraIQjiVMXxljK9awnkuc1I7lCSK
19,P0020,68.71,Clothing,9jbIBq5DfAhKkyyfHySIgf28dh24cSUXpXUpEOquUZhr85sV9A
20,P0021,35.12,Home & Kitchen,AMoiuIwS1xOgxsRVs3rwD4649qR9aUkalDcaq2jhxDw8Afdxab
21,P0022,42.43,Sports & Outdoors,A0zMzYmRjdLaudH6kh8USek3F8m6hPDaa9LenPLPPQFJIx5Clz
22,P0023,21.95,Clothing,QStJ3In5wZHrL7K3KGxeqzVVCy0HaUlv3bKyO6yP24NDnED3Ja
23,P0024,85.57,Sports & Outdoors,zGLdQAVO1D6LoZTmYSOxjo7kemb6ciJmnCx27cXHRTtazU072s
24,P0025,83.8,Home & Kitchen,l47hrLi8h1vBk93tcIyc59xf6rguIvP8pFYQrn3RYvXkfqibfI
25,P0026,89.25,Electronics,Xox9iFw7bo4HWmnbZ8i0RMJ8VUlgk8DNj0gPLH5GsZmYGruuPA
26,P0027,33.85,Books,0f0fAwqXcxXcwZNNChFYnwjyQg8HIHpnfCUQHKsP6xKT5ZB4pN
27,P0028,77.59,Clothing,i2efKv7Rt5H3sXdGaU4ytl2SsYOdu2VQLcPR40c2oCuCl3plR0
28,P0029,11.17,Home & Kitchen,nBO0y9HToKcw6xTRMSFxT218HTp0wpwtDw3GguyclhbeSa0hul
29,P0030,41.77,Electronics,cBllpmITbDLNjPqy0CuYFDkhNZeHHaZEpDJ930il1LiHo3WGpG
30,P0031,67.17,Clothing,tVTYDdfeZnc0qK182IuqbjLvDXIJzt88Ybr2wrxwmnZORYZbfr
31,P0032,87.49,Clothing,aADrV3Dtw6br9AvzW3iMIl9wlNgaFI8gw06BqIoormQqxQMnAh
32,P0033,58.98,Books,2mjZBczXVxTkoc3g0d3vK01GRq9eFNOruOuKcakM00Hf6jIiZA
33,P0034,94.16,Sports & Outdoors,bUqpklkoNewvr6t3HaWYtrY6lKZgnJeG94edpxmUm3YDfQ3WIy
34,P0035,93.23,Clothing,2aZJvLHJPIcinBX92ZxEeUJ1wYzlQYwc5IFB33YWVUDYIZwvLw
35,P0036,6.48,Books,W3aIOjd1MbpOkQiO9lZXUBIBc84twIGCLyXgnzOe8RULRBdjS8
36,P0037,71.19,Clothing,IxgPubEysQUVdxla5xri8SPBu5fsnTF0N8b9oBYzfRDFOqvD7t
37,P0038,19.83,Electronics,xd5qrZywJy8eEuYbcQ6cE28BBzs9ArjBZ50jbOOig8fBR4EbGe
38,P0039,69.0,Books,gN71LKOwRokixHVBj8TzT6zquXGiwwSxQOuK6vRffkW7tvDKp7
39,P0040,35.57,Books,Gjk8XYrOTszBPa15u9rNHLg126pst11c4c7DR1w3nR5vhzvqEp
40,P0041,29.29,Home & Kitchen,ScaEvjEBxKAgnVrZHQPpij6LUPnRiXoXrRbbWjwmMgb7ocrzKO
41,P0042,48.64,Electronics,xlLbegZrem9qbiXvREIboJbX4Pr97QrjJlfZWPmKDZHgYd4jZD
42,P0043,7.38,Clothing,a4JphBQdhy1zmA4rffuucTPOM1OLcMoS4nXRjjiDLlE2aCR5ZT
43,P0044,10.71,Electronics,gfZFRpNOuNIgY2KNhcPbE3oF0nx484p5gP8N6BHkfaO34wae9P
44,P0045,23.68,Sports & Outdoors,fkB8huW9CyZFdtreKrnH89elAeV7lteDNfmElMji05Ptqtmp3W
45,P0046,7.71,Home & Kitchen,0t5NjYTfp3L5uxHo8gw2jzWi0ddwESO5mnxmemlj88SAXaUs8v
46,P0047,68.74,Clothing,y94aapE9fFZfCA3QJ1EZDItdpE8niuID9NVQZpFEi2u9AUpKHm
47,P0048,22.93,Clothing,hgJXmz70C970r5Yiibiyf70txdUfMrCd65KupdTDlUi3NnQyQH
48,P0049,2.65,Books,mzb97TkZFjJRGUK2BOMNO59RjHzQFbgLRJ4GgAxtnKShqGgfRL
49,P0050,25.64,Sports & Outdoors,h5HV0TGMbqB6g86tkvXtcsdpqLAIgJYK7weM7lSFauwYqif2FY
50,P0051,53.88,Books,TbUVkQFBxeuk8TOZAbtvCdDHY1azBcku54WJTMIcEhJHUHhyop
51,P0052,91.26,Sports & Outdoors,pdYA30f99HhgFDbwsTw2uKQZQkDNXxxqt4b2DLlDYqx6IFCIy8
52,P0053,17.64,Sports & Outdoors,tLtbFqr86FcNi7x7jWOpVawXBMR98v1WiyAP0AzJddtbbkR9CI
53,P0054,26.61,Sports & Outdoors,sEihCuiVpm4sluVcUew1HecMoPbnkDzjbc4sYPYhwxRAuOJoGe
54,P0055,99.56,Sports & Outdoors,2f5es6RfOEU5TjbsidVfblD3Qpl7pa57qwN0gOOOBsF0QAD74U
55,P0056,34.88,Home & Kitchen,24631cEqnA5jqE4xIZAx3g8Sma207vyoCoRg5QyqIyyGWXcQIK
56,P0057,74.31,Electronics,dcviGSuHA8rW4q9Yp1MJSSY3LJIw5B0XYyFD7GzlLIQIGGK3xb
57,P0058,32.91,Clothing,vgI8cJZptxVCG1Da0gx2WzCEGrwwhAPgP55AB3npnkdKUDzQrm
58,P0059,94.32,Books,1PMNFWaEKkmubOdNPz8ev2UAV56e1E8VGJl5KebOoGql8ShrHA
59,P0060,35.62,Electronics,UNFtRhNCd1Fcb9ekHbpp0noYKkejs4IPs4iwbv14yyO9CIuuP7
60,P0061,75.68,Electronics,Ybqa43ToGpoRIyifjZ9wZTOXRKBwfuczPSSCpk8fUYEcsygCwc
61,P0062,18.79,Sports & Outdoors,V4DohS8LqwCHsomtHUYi8AP9h9s3rmEIdy4tcuIM1WK43ok2h3
62,P0063,71.8,Sports & Outdoors,Ce9COxf893DO5o8weerGurKp9ZWDZUh2OkkqFnLpYN5MTHb0Yj
63,P0064,3.83,Home & Kitchen,msgWwgpZwCYqgk9QjP8NX0dQAEBYpG20dC8IADGQ4xj2XlL3po
64,P0065,89.83,Books,qlhb0f2D29jMARCF0zqfzJpryBIienqBHSSWsiLQ1rPie6ts3S
65,P0066,17.15,Home & Kitchen,mKDWEiwTU35v2st2ImIXgtRkBZ8QmsgfOGBOolyfHdQx10RC4o
66,P0067,32.9,Clothing,BHBQTX8SQMmvFMdXY8qpMYbIwpqOPWlWtd4pxH4WDgGpmrEuC9
67,P0068,29.81,Sports & Outdoors,qHZ5sogxCc4GMeJEFOOZCPpLvgit1nmKhLZyHBWrxTzzlkVPkL
68,P0069,47.27,Clothing,DzEyYzKrRijaQCmLwtuDx2lIRMzUMfWnQWRlLnnJlCMXSG4aor
69,P0070,79.18,Sports & Outdoors,xiYsHLv146c1o8iw79eMHuMlARiq8VL7OgcnjyMAtADyUFqYJh
70,P0071,64.03,Books,ne6G8PzuusMbupVEpqRvahDXhiXj555qA3lmXpT97FuxaivLj8
71,P0072,31.43,Home & Kitchen,ROcdUqq6aQzJHGYjcs90wQl8jMo3BziBCIHg4fCPGgdbU7JXXh
72,P0073,1.27,Clothing,9B0fkVvDyaUokXG44TFy1WvyzRIkIaHTHlZLpK1BYh8i5jA5Wv
73,P0074,34.19,Electronics,Rr6E9atI2VYftCV64toY6AzvPdQPLbEaYH0ZBn5vmebtv4wR9a
74,P0075,30.25,Clothing,4ZND79Kj6NLw92Jo30ZekHBW0QLPLERlQOiH7YNqnQXVBRWDfY
75,P0076,33.39,Clothing,TEERoHduKaC2yzSn7AdGpIKWaR2PE3BENkkddBvUGLJfvHHGOz
76,P0077,1.33,Sports & Outdoors,UP3GYG8WSWBZza77Qvz9nyfojvfy2zYBFg8YaRZhRK0BkWCJpR
77,P0078,61.57,Electronics,jtGqO3TvXPNUqdgqhu5tKyBWm1zafGom5v3AUxfGaf9HhuxcRF
78,P0079,3.91,Electronics,JnnuPMMn0t1yCPUsLIlvRjugLu6MEuQYqOHt8rKX6dUswu5AXu
79,P0080,23.34,Clothing,rImaF9drQw4AGVLBDjz8USVGl3u1lV2L05tbWdAa6nYLDG8k7B
80,P0081,59.58,Home & Kitchen,uewqC0BeZjYQ496sDsnwDCgtzeGphJR7vkC1CkBJBkZ4WKm0Bx
81,P0082,35.32,Clothing,IFpythTEZRSfqMKkBUALwgM8s1sF23RtyXwG07taRdJqSfJYlC
82,P0083,49.54,Electronics,fX4TbvTnxjRXmDayiKfjxXHCDw907G6UvLGwUZfxqRwIbW0HGA
83,P0084,28.91,Home & Kitchen,5Z6JlCuqphE2yDR55yBKqZnnvEtgZ5TZdDzsV8id1b79HhazFU
84,P0085,73.55,Books,xLKOvejwTVnABLBHi1My19dya1No644eJOxUS7qpC18U0Vuay3
85,P0086,6.76,Clothing,mSxq88HgjUpnpyOxkKras3K0v9Dvbm2UKBG0LgZVJ03lfxkepk
86,P0087,51.4,Sports & Outdoors,FeNY1R4hsoisfoanHu19r7x9v7adKeUWMtCEdaPkPE62eRoEv4
87,P0088,82.39,Sports & Outdoors,gbOIvQnNI7YWNhs1LlWHBJ8W5bPi9kX4bOiz2zFQzaeWfrZaGE
88,P0089,94.87,Clothing,OOSOSGn6WySRfdi4kqLixsVo0HiROAzkcJvxovMpJYh6RhxuMD
89,P0090,67.36,Electronics,l84xJdMxj77T7BLrMeF6uTeWZOSkaaC3DPZIlJp6aCqmlIkznY
90,P0091,71.67,Home & Kitchen,oVmht6dGpktROTYw8hzAAFtcZdISzZvJFvpu5FkEyXkBLpyqrx
91,P0092,24.05,Books,jXAyBYEwSWveTsSpBa1WHi9ds70iW4LWnxDMLcjL1osWUd4f48
92,P0093,76.23,Books,vbY0pb0vjziJSkMnS28L6sJMcKGSwfDD1MSLiM7aXvVOKfEr6P
93,P0094,34.67,Books,JNEoNf38Wti9rrPFql73uv6JB5MhAbP2R5wthIuYOX6033kvoq
94,P0095,47.61,Electronics,ujQZyC42VfWvzAwimqdYrwkSn0wFCTitDBOAy59M3JbE79uxts
95,P0096,39.33,Sports & Outdoors,qDwhv2ivVn6ZCk6o8U3XjB5OfCTXX6Yr11pklCG3NWAU1HN0xx
96,P0097,47.92,Electronics,WN2pysxwH9rrEliqTapLt0Kbhgi6T4JgGv3WNXIRJnAXVCv1Z4
97,P0098,90.45,Home & Kitchen,ptnl2GPGPkW1ZcPx9R7ZjvfEGqA6PBHoCPI0ESWidf7edfDUSz
98,P0099,51.61,Home & Kitchen,kAtcEhubS97MdP3CVVqpZXGBzFV5hAu3gYUARIhKIKqN7rWVxE
99,P0100,26.62,Books,YaHO3D3DwmhoydOumHNFBYHesrjAEwR4ccuncDlElOj7FUeyec
100,P0101,86.03,Books,0bwqktrnA4Mp2oUHo1DTwKuj60SvI7l8vWyxhzIAbfPo9DYFw2
101,P0102,49.28,Clothing,1cKziQczu6l6g0CE7H4oKrBGlcal5SfUhZ3gUTLBpAbiUHXbDS
102,P0103,48.37,Sports & Outdoors,3w9xKjf82dFXzdQUYxn1yOTWAPSBC17JjQ2CaEllUNC1KvXHnY
103,P0104,38.7,Electronics,oWp7TYqvhUbEhcbzpKNbBVw8kkUILJLYzgXOBpoVHCl0Qj7W2B
104,P0105,24.99,Books,8UrOe9OoVh1mnSm3lwKFsOmCc5WdRtY5yzvbSqEom0CKdhSoSY
105,P0106,77.97,Clothing,LJegKFUj6NpGxoveMKsC8hb25NXv1GSclojaJTqy9VwKkZ9A9L
106,P0107,97.33,Clothing,5MVNKLlbSpmA41PuIWtQSMx3IuXrRonwXTqctXuqhr7DmJVCMG
107,P0108,11.04,Sports & Outdoors,l2pbuGpLAhaK9DU8xrMyikM7rOhMPwpYSLkhRQnZ8Bbvr4tHga
108,P0109,25.04,Electronics,2LkyMgsbN4o389eLCUUaq7bHMC0TZEU5iB3yGT9xtnGuDZfcdO
109,P0110,28.35,Books,VvrXF2fcXA1wgtYZAZYJBO2steXK6C4IivX8iP4y8BDqdaXAgd
110,P0111,75.06,Electronics,Rzr8FiexKmvuVEwNx7fQ3h93jk9fmYl1oet9w8V9T4XvNrzmm5
111,P0112,37.96,Electronics,a7VjpVQi8NMnNxEUs1tRzRv1wwJPruV90XYCoqPhI0BuVz04BB
112,P0113,21.65,Clothing,8QBVIEcblOVANeXowNVvyb9U6mRjSHaBCkJPzRQJfG4F2VnF93
113,P0114,77.03,Clothing,pOE7pxspemwqiSioWJANRoiAbNnnCm4lrBwUcvBpaHW1mg7NVN
114,P0115,92.63,Books,Z1c8Atx2Sg5HrF9xR6v0sq5zjcRP90k4jvuuLmbogiKqzLssps
115,P0116,40.88,Sports & Outdoors,HBYOKrEsb1LEDHx22y2taTBkDrZwbJrshy9dThH2vcVnuWe3r6
116,P0117,50.91,Clothing,W9VOC5ojTVE8jKfw84vPvCT1sTLDs7eeROJ2qvXb345kY1tZ0z
117,P0118,44.23,Clothing,vzNSQcIkhTNdQhp7cCWVyFyrmWKgjULiGpcPesBM7HoX3coKT2
118,P0119,94.73,Electronics,91HOCuSVJaQmoAMv5OLzju1KpRXJijahDKVTKjJ5ZfLxoRNEvU
119,P0120,27.34,Home & Kitchen,mfEPDbjAgvmVIYYmt7ASQPZHNdSve72li3tfWqKrhtIV3ZHSMB
120,P0121,14.81,Electronics,PND93tGNSCjFIyDh1PM6AW1SdfqJ99zPfUuVpLqjngMoph6TS6
121,P0122,43.82,Electronics,mTK3f3SuBjsVLYTc1p5hkCThkxbH05NoxYsiR00w1PTBk9r5mg
122,P0123,30.22,Home & Kitchen,Yrsdiv1anEXuRSvlhyXXSWgFf2AdeiWHaJwStuaiouG6xA083s
123,P0124,60.63,Books,Wzkdg5f7JyaeL72C2HuYOHA0SJJRwyVw5pOi65qiWIjYhakjNE
124,P0125,89.81,Electronics,i5RSZBTYkeX9xP2YZ93fn0TsBfcyOV47HhAaWOSaOwOnShj0xa
125,P0126,60.61,Clothing,LZBSjMlKL6HvazrFIgDRUYLUbhdRlYT1ltBsClFAMebMrwPEk8
126,P0127,69.0,Clothing,mIsfNeNmgYBUzqvf7GSK3L9kd7Ikzgo3Ozu0ivb3Q9ZHC6D5PO
127,P0128,33.63,Home & Kitchen,huhqCZoiKlDvHNXkF144ynM7NfLsJKQnYiM9mxjIHopefUIb3I
128,P0129,57.39,Clothing,tt8ianxyUSjQKCaPpiTK4T6rYjWMiC6LcD1bjHSLellu3qf3AB
129,P0130,58.68,Sports & Outdoors,CutbYFNKEKoZ2ZYdP3MCIZBHks4dlueN2oD4LsOme5NKrAdBuL
130,P0131,1.94,Sports & Outdoors,YbmGeLxlmRzYf8hlEFCm2YIGn94bMRvjTwBHlPvuCYcHbiaxWC
131,P0132,56.05,Clothing,MfnjirXpuzh5TnWwTmUQhAg8IxkCwVogo3rapZ9koiAveX73pB
132,P0133,32.54,Home & Kitchen,hx8EEB8fBzRUwVzZOcxGkDz95uL4P5nuOeCsv0TudaAhsxGcm3
133,P0134,91.89,Clothing,dYetHxk6aQMaza6FeYkoM9Pal3uKXEzgxHUx7WU2My3m3YoQE0
134,P0135,36.63,Electronics,FfDzvRBmLPrUIptw0jYIPiUUUVO2ZxNevHzVHb3gR8NGOT0qYX
135,P0136,65.2,Sports & Outdoors,BBFvoInxskA7jQLi0l5hd46WCCPeZbrkURehsufIe3ZX2pf3of
136,P0137,33.77,Sports & Outdoors,pTJmHywWBCeknEitEmb64Gl3GoAzAGULqBnFsaMFjhoAgP269v
137,P0138,41.86,Sports & Outdoors,NaPaWhdo8me5s6dDK1pZX045vGrGnSOVJRblwQzXJKTakXx0Wa
138,P0139,79.17,Clothing,ISxndg2xRj4NzAiZUbxV1jY7HIwzhcksIh59KmBpmDAmn2eF8c
139,P0140,72.46,Home & Kitchen,iwEvDaUvjSKydvZJ9Mtei3TVVpvHxibBG5EvRgXOOL872P2al5
140,P0141,13.84,Electronics,F1y0cO3Jiq10cfchQ0VcntFeACh8qQIkqKScPmGtcQZy8dVeAE
141,P0142,84.85,Electronics,KWy9Lu97JVWHAosBcahz6hSmqsczimj74m4DVxR19PbU3UCeT8
142,P0143,88.14,Home & Kitchen,9TWbdSfatR78YkzrlsdbMp8eVncJM33wip8KbaO4DAPKj7whei
143,P0144,13.28,Clothing,QlIm87igCTAe57aPabRMN83YlYDGdkNcoSMzUCnVZ61Q3h1GXg
144,P0145,28.95,Books,UUWYasJ4BNshFjYjhf1Pqc6V5vfaABIjlyQyveUsiopuvzS6nS
145,P0146,20.46,Clothing,quh07Bvtb6RY6FMcLLELBOMBsY2hXJzNcPzT4d9731gqiKt8F4
146,P0147,58.79,Home & Kitchen,1X3COzOlSvb5JrDAMCx8820Qp6ksCxHa0GFahfyzdDHmuCKUHF
147,P0148,14.66,Home & Kitchen,qm0Z305RVAPjWkXp2xyikQd2F2t7ty4mtBRRvKYjrcFcAioonv
148,P0149,25.05,Clothing,6TZrEVE9QDuz0lnYDeMgl427RvjCMUCefF2fh0eKtj1gtbT03c
149,P0150,97.92,Home & Kitchen,daq7vDlhb07wPM3Ihh9Qkv0zhzWe5vRjKp7z4qRfE26lNnUX1K
150,P0151,51.8,Electronics,4g63uqUxPCmQDvTZfOKbkITnaRf2bKVlMSHRxM5G8m6ZtukE1o
151,P0152,66.85,Sports & Outdoors,EkOlLfjl36g6uge6ZKbIHlxSoMqMBOZCQV0buGbkPMOSSdA6UM
152,P0153,52.63,Books,wCMRVDzeWh4ON3MfTKbtPDFCl9EOIHIvJfcq6dSDrFchW41zib
153,P0154,34.49,Books,DqsUwB5Ef4qug1pseeV1afx13suOFLGZmuaZlxxtV9hcffSClg
154,P0155,27.07,Electronics,4mZSYshZRS3QeYXal5iGVjJp4F9rronQk7i9g2pbzfIDQNR9V8
155,P0156,45.41,Books,h4jwrBL5eFI21oLRWtfYxBniCU7DqrRPkduNcY9FFKbBFFgG7M
156,P0157,51.63,Sports & Outdoors,pE0G7SUaqKlNBYhqh8lkCUqzJ1dtP0XAuVsmc32nA0V5W0Kwra
157,P0158,11.09,Clothing,VQH2HhsfqU0kobR8vED1MsybrMfSqJvg6CVqZz4DSVbKzwVFdO
158,P0159,58.34,Clothing,3Uq0QAqB3pazuCG6BHUsKOS1weniGWqAltbmbf336bFnyuNAuf
159,P0160,96.97,Sports & Outdoors,oxCq6yy0sFopufOl3mbVeeH8JjBXGF38WsR8tjWKcYitSvF4sg
160,P0161,21.31,Home & Kitchen,pkbqM2DHlizTbEf2lDh6NNrfNqxWggaMbpm2JBpC9uE2MO4Oif
161,P0162,93.85,Books,LPMHKlbbfiODwP0aMb8aqZizrdfYoXrDO5s7Z6HH0aGuSSPex5
162,P0163,36.6,Home & Kitchen,5rbxohpeB4QXamuKaAL0IyMo0WsNMS4iK1K795vgp0SjuncvJc
163,P0164,88.92,Electronics,xBCPfsWkzTURJh6vhXvLnyNkKRkVrDzm1CfNti76qMTd8kahg7
164,P0165,93.2,Books,Wk3wS8V6kUhy0nWnknaaSiS3oQJkfAf8pOK0GAbRqMwQ3LVpAe
165,P0166,56.8,Home & Kitchen,dfEvaYxl0MJ3VYlYrYzdImebVl7ENp0VhWZhIAkqqFLHQzPU8C
166,P0167,88.17,Sports & Outdoors,y8Efq93OmWZtzYYgcAN3Mw5xQmiwA0hj7AIzQ8Mqba5oYKUHCz
167,P0168,88.23,Sports & Outdoors,cye38REzEWEuJzDzAtGC3V28aVilOKmNWiUGCZ7TJa5eMbDnbE
168,P0169,7.13,Sports & Outdoors,L4gUj0xwA7SH0F1KjRcrEpwKwYxGbXQ4gjjtY8YetiaMmkZcoQ
169,P0170,64.48,Electronics,9RK2hpzPeL9MqSl2zbUU4x8hyuYHpEpkh6Bq27Zf5Z3Do0fIpq
170,P0171,25.81,Home & Kitchen,L5LQphKts4uSpffsF0ziHzFVBEZYvCz1bYHJXHvdqA9K8RvzUR
171,P0172,6.55,Sports & Outdoors,iWnWbG5vLBDHsPjiWKY015Hfc2RTGjnLz3n2gG4airPRbxpnIS
172,P0173,58.91,Books,UASpWkt14nzeB6fkBDwO42wQiCijnSTcizwW1eB1yy0Rmyqi2b
173,P0174,60.67,Sports & Outdoors,UgFhJqzvRKhtmzsTPhyU6K3u51YrPukuMMT4A7knxGC48fIraB
174,P0175,5.79,Clothing,gRGtr5Xx8CJGKCp9bbNDjg81RSAwcMCXXL5pJWmAKIkqVQSekj
175,P0176,76.2,Home & Kitchen,Rc2Z4WT5lrbwnVu3RpbkZZwtgkB05tgCalApGbCxs7Pxh0hEPO
176,P0177,81.94,Electronics,onk6qwzXo0bpmSXC4LaktXaGYX4NX5J5Xrm461KR4etbc5tLSz
177,P0178,11.5,Sports & Outdoors,boDXdDTlVgtJZZoBkbjqtUCMoBCidI9p58vBG4yMbA6dKjHFxd
178,P0179,37.28,Sports & Outdoors,8BTlvgPKK7FFpiUtDPsBn51T0dCqCjfXgs2qPEi2LhLBlvNnaC
179,P0180,79.81,Clothing,0xnn5PI90awvQ71tRlY0k4YX5BJ3EwwN86yRSBKeSPymqZ7pVs
180,P0181,54.23,Sports & Outdoors,eyWG0Leb7IRmrdS59tRRm1sKAiVCMBd75wS2QzBl84trpC47rq
181,P0182,27.79,Sports & Outdoors,4bAcdeV5KMrPwmYxS5nCWfhP56QSHxExnWXNqguQj0YX7FSvNR
182,P0183,83.7,Clothing,YhYJPX64PDgug0p9roQA8uubORYji2dUkQIyrPLQ5vmCs04yy1
183,P0184,2.61,Clothing,6AzXOTCdiEq3OD5F4DFDVuXQtUd97gspiTRIfhGLhBXx9WE5Yo
184,P0185,22.5,Clothing,4tUHg1DnIiceVacmYEDc7WmV8ToZyI5QksZDD3xVxAbvsqPiCQ
185,P0186,88.93,Clothing,PPR1vC6YemSs14bZRZNecguT5lfK75ehTFBf21K5ycPfyHJRO1
186,P0187,27.29,Sports & Outdoors,vdV33UTgHg6Q2MGg4vCwg8O8eEty5DJrcOND5n3NickDM13Clr
187,P0188,2.21,Books,ejMPnjVuxEtcYHz1ebLFL29PgxBUByVMVJagxnRdJ8jTvadEB8
188,P0189,43.93,Books,SHZ5d4ix7oF1MijII2RpvqVG4YWGa4C46LXcPz2fa0oQOnHZ03
189,P0190,14.73,Clothing,WJ2Nz7UxlqkWx09LlDSy5BjS8Dcp4tk0ICNOznlgnI9KVGhyI3
190,P0191,75.04,Electronics,LWx1SM5tEwcEXC8WWy9W9g3t7V4OgZqqtKwNTywWju8VGlcsUG
191,P0192,84.62,Home & Kitchen,ThHTUYkuCqSLXKVL5cL2x35NKCeip7MAxx6egPn9pbOf0yobML
192,P0193,41.32,Clothing,SgRLGH75Me2tlGSfkfgUUrB2FWQRDbdh9eIgXULBADVvN6pd9B
193,P0194,43.38,Clothing,eOnRpP74GAXrDk8UMb6QgmSJscSgpT9B5B9C1PA1TB9Xc59v21
194,P0195,20.57,Books,QrdLQlbvKlsHdZgSC8i1Y9IO3QwbPpuKsOQbGIQiKC5JZyHt1K
195,P0196,34.67,Home & Kitchen,531xg9I13ffgc5lQuGy1PKTi8YpETie91OUYG1P5yFmFwpOxZJ
196,P0197,32.05,Sports & Outdoors,Di1NIzggR68nvWO355e2luYqJjEn1nr9nEVFCVfvO3M18rjrcn
197,P0198,2.31,Home & Kitchen,T7KwqOifyRIO1Xteo59Pp6AQ0WHnE74u2UDM5tSy0UNsKHnTOg
198,P0199,34.51,Home & Kitchen,g8buZeg8qRMISdBGGhQtqC2ukzLUYuxs4hkbEMH7GMgBofOMQh
199,P0200,6.67,Home & Kitchen,hSrOMW6t6yrKnapDLYDVKXsiE4b759i5h8GjGTTmXsSXyNXFhB
